"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2017,7,"DL","Delta Air Lines Inc.","PWM","Portland, ME: Portland International Jetport",92.00,22.00,10.87,0.63,5.66,0.00,4.84,0.00,2.00,2031.00,871.00,32.00,930.00,0.00,198.00,
2017,7,"DL","Delta Air Lines Inc.","RAP","Rapid City, SD: Rapid City Regional",31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017,7,"DL","Delta Air Lines Inc.","RDU","Raleigh/Durham, NC: Raleigh-Durham International",564.00,96.00,38.65,4.95,25.84,0.00,26.56,0.00,1.00,5354.00,2192.00,800.00,1120.00,0.00,1242.00,
2017,7,"DL","Delta Air Lines Inc.","RIC","Richmond, VA: Richmond International",248.00,60.00,29.12,5.60,9.31,0.00,15.97,0.00,1.00,3873.00,1912.00,288.00,512.00,0.00,1161.00,
2017,7,"DL","Delta Air Lines Inc.","RNO","Reno, NV: Reno/Tahoe International",60.00,10.00,5.42,0.50,1.54,0.00,2.55,0.00,0.00,438.00,228.00,9.00,70.00,0.00,131.00,
2017,7,"DL","Delta Air Lines Inc.","ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",31.00,15.00,3.15,0.56,0.63,0.00,10.66,0.00,1.00,767.00,122.00,21.00,23.00,0.00,601.00,
2017,7,"DL","Delta Air Lines Inc.","ROC","Rochester, NY: Greater Rochester International",124.00,26.00,13.46,1.03,5.62,0.00,5.89,0.00,0.00,1323.00,685.00,33.00,259.00,0.00,346.00,
2017,7,"DL","Delta Air Lines Inc.","RSW","Fort Myers, FL: Southwest Florida International",408.00,75.00,31.56,3.89,14.79,0.00,24.76,0.00,1.00,4828.00,2382.00,218.00,595.00,0.00,1633.00,
2017,7,"DL","Delta Air Lines Inc.","SAN","San Diego, CA: San Diego International",705.00,67.00,26.94,8.01,18.66,0.00,13.39,0.00,0.00,3985.00,2110.00,477.00,733.00,0.00,665.00,
2017,7,"DL","Delta Air Lines Inc.","SAT","San Antonio, TX: San Antonio International",328.00,61.00,23.29,3.88,12.68,0.00,21.15,0.00,0.00,4633.00,1209.00,159.00,1116.00,0.00,2149.00,
2017,7,"DL","Delta Air Lines Inc.","SAV","Savannah, GA: Savannah/Hilton Head International",307.00,54.00,22.56,4.84,13.77,0.00,12.82,0.00,0.00,3180.00,1346.00,248.00,397.00,0.00,1189.00,
2017,7,"DL","Delta Air Lines Inc.","SDF","Louisville, KY: Louisville International-Standiford Field",226.00,45.00,12.99,2.90,10.38,0.00,18.73,0.00,0.00,2811.00,790.00,225.00,424.00,0.00,1372.00,
2017,7,"DL","Delta Air Lines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",2317.00,262.00,88.96,12.70,86.61,1.82,71.91,0.00,2.00,14157.00,4235.00,2412.00,2835.00,60.00,4615.00,
2017,7,"DL","Delta Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",1272.00,245.00,81.31,10.96,116.90,0.97,34.86,1.00,0.00,13236.00,5932.00,750.00,4534.00,68.00,1952.00,
2017,7,"DL","Delta Air Lines Inc.","SJC","San Jose, CA: Norman Y. Mineta San Jose International",417.00,45.00,25.08,1.87,8.83,0.00,9.22,0.00,0.00,2791.00,1706.00,172.00,269.00,0.00,644.00,
2017,7,"DL","Delta Air Lines Inc.","SJU","San Juan, PR: Luis Munoz Marin International",253.00,53.00,21.39,3.41,19.27,0.00,8.92,0.00,1.00,2871.00,1151.00,121.00,1035.00,0.00,564.00,
2017,7,"DL","Delta Air Lines Inc.","SLC","Salt Lake City, UT: Salt Lake City International",4045.00,398.00,151.90,27.11,88.72,0.00,130.27,0.00,5.00,30952.00,15522.00,1500.00,3756.00,0.00,10174.00,
2017,7,"DL","Delta Air Lines Inc.","SMF","Sacramento, CA: Sacramento International",262.00,29.00,13.68,2.70,5.24,0.00,7.38,0.00,0.00,2270.00,1247.00,93.00,212.00,0.00,718.00,
2017,7,"DL","Delta Air Lines Inc.","SNA","Santa Ana, CA: John Wayne Airport-Orange County",322.00,26.00,13.51,2.89,4.17,0.00,5.43,0.00,1.00,1528.00,702.00,147.00,171.00,0.00,508.00,
2017,7,"DL","Delta Air Lines Inc.","SRQ","Sarasota/Bradenton, FL: Sarasota/Bradenton International",178.00,33.00,14.13,2.23,7.10,0.00,9.54,0.00,0.00,1822.00,895.00,284.00,164.00,0.00,479.00,
2017,7,"DL","Delta Air Lines Inc.","STL","St. Louis, MO: St Louis Lambert International",423.00,82.00,34.82,5.46,15.18,0.00,26.54,0.00,0.00,6219.00,2951.00,704.00,505.00,0.00,2059.00,
2017,7,"DL","Delta Air Lines Inc.","STT","Charlotte Amalie, VI: Cyril E King",107.00,12.00,5.89,0.00,3.63,0.00,2.48,0.00,0.00,400.00,223.00,0.00,92.00,0.00,85.00,
2017,7,"DL","Delta Air Lines Inc.","STX","Christiansted, VI: Henry E. Rohlsen",9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017,7,"DL","Delta Air Lines Inc.","SYR","Syracuse, NY: Syracuse Hancock International",121.00,25.00,7.57,2.04,6.90,0.00,8.49,0.00,0.00,1951.00,851.00,191.00,342.00,0.00,567.00,
2017,7,"DL","Delta Air Lines Inc.","TLH","Tallahassee, FL: Tallahassee International",118.00,21.00,5.89,1.13,5.28,0.00,8.70,0.00,0.00,959.00,298.00,26.00,161.00,0.00,474.00,
